"","year","happy","commute","realrinc","educ","race","gender"
"188",1986,1,20,33125,16,"White","Male"
"189",1986,1,20,33125,13,"White","Male"
"190",1986,0,5,9173,12,"White","Male"
"191",1986,1,15,24207,18,"White","Male"
"192",1986,1,45,14015,7,"White","Male"
"193",1986,1,30,24207,12,"White","Male"
"194",1986,0,20,33125,12,"White","Male"
"195",1986,1,10,24207,12,"White","Male"
"196",1986,1,25,45866,18,"White","Male"
"197",1986,1,20,33125,12,"White","Male"
"198",1986,1,30,38222,12,"White","Male"
"199",1986,1,0,16563,16,"White","Female"
"200",1986,1,30,2038,13,"White","Male"
"201",1986,1,45,33125,12,"Non White","Female"
"202",1986,1,30,19111,13,"Non White","Female"
"203",1986,1,5,2038,13,"Non White","Female"
"204",1986,1,15,24207,16,"White","Female"
"205",1986,1,45,16563,12,"White","Male"
"206",1986,0,5,19111,16,"White","Male"
"207",1986,1,10,33125,15,"White","Male"
"208",1986,0,5,6625,14,"Non White","Female"
"209",1986,1,15,14015,11,"Non White","Female"
"210",1986,1,10,4587,11,"White","Male"
"211",1986,1,5,16563,12,"Non White","Male"
"212",1986,0,15,7644,12,"White","Female"
"213",1986,1,5,4587,15,"White","Female"
"214",1986,1,0,7644,14,"White","Male"
"215",1986,1,0,4587,12,"White","Male"
"216",1986,1,0,28029,12,"White","Male"
"217",1986,1,20,16563,14,"White","Male"
"218",1986,1,20,3567,12,"Non White","Male"
"219",1986,1,10,9173,13,"Non White","Male"
"220",1986,0,10,3567,16,"White","Male"
"221",1986,1,30,14015,17,"Non White","Female"
"222",1986,1,2,3567,17,"White","Female"
"223",1986,1,10,28029,12,"Non White","Male"
"224",1986,1,40,11466,12,"Non White","Female"
"225",1986,0,15,2038,12,"Non White","Female"
"226",1986,1,15,14015,12,"White","Male"
"227",1986,1,5,5606,13,"Non White","Female"
"228",1986,1,20,510,12,"Non White","Female"
"229",1986,0,20,510,12,"Non White","Female"
"230",1986,1,25,11466,20,"White","Male"
"231",1986,1,20,21659,12,"White","Male"
"232",1986,0,15,14015,12,"White","Female"
"233",1986,1,22,19111,8,"White","Male"
"234",1986,1,20,3567,16,"White","Male"
"235",1986,1,30,38222,16,"White","Male"
"236",1986,1,15,21659,12,"White","Male"
"237",1986,1,5,21659,12,"White","Male"
"238",1986,1,15,7644,12,"White","Male"
"239",1986,1,20,21659,11,"White","Male"
"240",1986,1,10,5606,12,"White","Male"
"241",1986,1,20,28029,12,"White","Male"
"242",1986,1,5,19111,16,"White","Male"
"243",1986,1,15,38222,14,"White","Male"
"244",1986,1,5,5606,10,"White","Male"
"245",1986,1,15,11466,9,"White","Female"
"246",1986,1,15,3567,6,"White","Female"
"247",1986,0,30,28029,13,"White","Male"
"248",1986,1,2,2038,16,"White","Male"
"249",1986,1,30,21659,12,"White","Male"
"250",1986,1,5,21659,16,"White","Male"
"251",1986,0,5,14015,12,"White","Female"
"252",1986,1,15,9173,16,"White","Female"
"253",1986,1,15,7644,12,"White","Male"
"254",1986,1,5,5606,12,"White","Male"
"255",1986,1,50,510,12,"White","Male"
"256",1986,1,20,9173,12,"White","Male"
"257",1986,1,15,19111,13,"White","Male"
"258",1986,1,5,9173,12,"White","Male"
"259",1986,1,2,6625,11,"White","Male"
"260",1986,1,30,3567,18,"White","Male"
"261",1986,1,15,6625,12,"White","Female"
"262",1986,1,10,14015,16,"White","Female"
"263",1986,1,90,21659,17,"White","Female"
"264",1986,1,10,19111,14,"White","Female"
"265",1986,1,45,9173,16,"White","Female"
"266",1986,1,20,16563,14,"White","Male"
"267",1986,1,3,38222,14,"White","Male"
"268",1986,0,15,21659,14,"White","Male"
"269",1986,1,15,24207,4,"White","Male"
"270",1986,1,10,33125,19,"White","Male"
"271",1986,1,8,14015,11,"White","Female"
"272",1986,1,45,56058,20,"White","Male"
"273",1986,1,5,3567,15,"White","Female"
"274",1986,1,10,14015,10,"White","Female"
"275",1986,1,5,28029,19,"White","Female"
"276",1986,1,5,38222,16,"White","Male"
"277",1986,1,5,510,6,"White","Female"
"278",1986,1,20,510,18,"White","Male"
"279",1986,1,15,4587,14,"White","Male"
"280",1986,1,15,21659,14,"White","Female"
"281",1986,0,5,6625,9,"White","Male"
"282",1986,1,20,9173,14,"White","Male"
"283",1986,1,20,16563,13,"Non White","Male"
"284",1986,1,10,38222,14,"Non White","Male"
"285",1986,1,30,3567,12,"White","Female"
"286",1986,0,15,21659,15,"White","Female"
"287",1986,1,20,24207,16,"White","Male"
"288",1986,1,10,45866,20,"White","Male"
"289",1986,1,10,28029,12,"White","Male"
"290",1986,1,25,21659,14,"White","Male"
"291",1986,1,43,28029,15,"White","Male"
"292",1986,1,25,14015,12,"White","Male"
"293",1986,0,12,7644,12,"White","Female"
"294",1986,1,4,9173,11,"White","Male"
"295",1986,1,30,16563,12,"White","Male"
"296",1986,1,35,11466,11,"White","Male"
"297",1986,1,5,14015,16,"White","Male"
"298",1986,1,12,28029,15,"White","Male"
"299",1986,1,25,45866,13,"White","Male"
"300",1986,1,25,101376,16,"White","Male"
"301",1986,1,7,5606,13,"White","Male"
"302",1986,1,60,4587,14,"White","Male"
"303",1986,1,45,33125,11,"White","Male"
"304",1986,1,10,2038,12,"White","Male"
"305",1986,1,35,11466,13,"White","Male"
"306",1986,1,10,28029,14,"White","Male"
"307",1986,1,20,24207,12,"White","Male"
"308",1986,1,10,11466,16,"White","Male"
"309",1986,1,10,19111,8,"White","Male"
"310",1986,1,5,5606,13,"White","Male"
"311",1986,1,20,19111,12,"White","Female"
"312",1986,1,20,16563,12,"White","Male"
"313",1986,1,45,28029,12,"White","Male"
"314",1986,1,10,6625,12,"Non White","Male"
"315",1986,1,5,510,12,"White","Male"
"316",1986,0,15,9173,12,"Non White","Female"
"317",1986,1,45,3567,11,"Non White","Female"
"318",1986,1,60,2038,11,"Non White","Female"
"319",1986,1,20,510,10,"Non White","Female"
"320",1986,1,20,9173,16,"White","Male"
"321",1986,1,15,16563,12,"White","Male"
"322",1986,1,20,14015,12,"White","Male"
"323",1986,1,15,19111,16,"White","Male"
"324",1986,1,5,14015,12,"White","Male"
"325",1986,1,5,14015,16,"White","Male"
"326",1986,1,20,14015,12,"White","Male"
"327",1986,1,35,33125,12,"White","Male"
"328",1986,1,15,16563,14,"White","Male"
"329",1986,1,10,101376,19,"White","Male"
"330",1986,1,20,38222,14,"Non White","Male"
"331",1986,1,30,14015,16,"Non White","Male"
"332",1986,1,5,9173,14,"Non White","Female"
"333",1986,1,15,21659,16,"White","Male"
"334",1986,1,3,11466,11,"White","Male"
"335",1986,1,12,11466,12,"White","Male"
"336",1986,1,20,19111,14,"White","Male"
"337",1986,1,15,9173,16,"White","Male"
"338",1986,1,20,14015,12,"White","Male"
"339",1986,1,30,11466,12,"White","Female"
"340",1986,1,10,28029,12,"White","Male"
"341",1986,1,15,9173,11,"White","Male"
"342",1986,1,5,3567,14,"White","Male"
"343",1986,1,20,33125,16,"White","Male"
"344",1986,1,5,56058,17,"White","Male"
"345",1986,1,12,38222,16,"White","Male"
"346",1986,1,15,16563,12,"White","Male"
"347",1986,1,5,21659,12,"White","Female"
"348",1986,1,20,9173,9,"White","Female"
"349",1986,1,15,21659,12,"White","Male"
"350",1986,1,10,28029,16,"White","Male"
"351",1986,1,15,16563,12,"White","Male"
"352",1986,1,0,19111,16,"White","Male"
"353",1986,1,15,19111,18,"White","Male"
"354",1986,1,1,3567,12,"White","Male"
"355",1986,1,5,28029,16,"White","Male"
"356",1986,1,7,6625,12,"White","Female"
"357",1986,1,5,14015,12,"White","Male"
"358",1986,1,40,21659,12,"White","Male"
"359",1986,1,1,5606,12,"White","Male"
"360",1986,1,15,9173,11,"White","Female"
"361",1986,0,5,6625,12,"White","Male"
"362",1986,1,15,11466,12,"Non White","Male"
"363",1986,1,10,4587,12,"Non White","Male"
"364",1986,1,15,2038,11,"White","Female"
"365",1986,1,20,33125,9,"Non White","Male"
"366",1986,1,20,5606,11,"White","Female"
"367",1986,0,7,14015,12,"White","Female"
"368",1986,1,50,7644,11,"White","Male"
"369",1986,1,10,28029,12,"White","Male"
"370",1986,1,25,33125,18,"White","Male"
"371",1986,1,3,28029,16,"White","Male"
"372",1986,1,7,2038,14,"White","Male"
"373",1986,1,20,16563,12,"White","Female"
"374",1986,0,3,5606,15,"White","Female"
"375",1986,1,5,2038,12,"White","Male"
"376",1986,1,3,11466,14,"White","Male"
"377",1986,1,15,11466,17,"White","Male"
"378",1986,1,4,38222,12,"White","Male"
"379",1986,1,0,510,12,"White","Male"
"380",1986,1,25,28029,14,"White","Male"
"381",1986,1,15,21659,13,"White","Male"
"382",1986,1,20,19111,13,"White","Male"
"383",1986,1,15,28029,12,"White","Male"
"384",1986,1,15,16563,12,"White","Female"
"385",1986,1,20,7644,12,"White","Male"
"386",1986,1,5,3567,12,"White","Male"
"387",1986,1,10,19111,12,"White","Female"
"388",1986,1,5,2038,11,"White","Female"
"389",1986,1,15,14015,12,"White","Male"
"390",1986,1,15,2038,12,"White","Male"
"391",1986,1,25,21659,15,"White","Male"
"392",1986,0,20,16563,12,"White","Female"
"393",1986,1,10,2038,12,"White","Male"
"394",1986,1,15,21659,12,"White","Female"
"395",1986,1,35,11466,12,"White","Male"
"396",1986,1,12,510,12,"White","Male"
"397",1986,1,5,28029,10,"White","Male"
"398",1986,1,15,7644,12,"White","Male"
"399",1986,1,20,28029,14,"White","Male"
"400",1986,0,15,16563,12,"White","Female"
"401",1986,1,20,14015,12,"White","Female"
"402",1986,1,25,21659,14,"White","Male"
"403",1986,1,3,14015,12,"White","Male"
"404",1986,1,15,9173,13,"White","Male"
"405",1986,1,35,9173,11,"White","Female"
"406",1986,0,30,21659,10,"White","Male"
"407",1986,1,20,45866,20,"White","Male"
"408",1986,1,10,11466,13,"White","Male"
"409",1986,1,15,4587,14,"White","Female"
"410",1986,1,0,6625,16,"White","Male"
"411",1986,0,25,5606,19,"White","Male"
"412",1986,1,12,3567,12,"White","Male"
"413",1986,0,20,19111,8,"White","Female"
"414",1986,1,5,33125,10,"White","Male"
"415",1986,1,3,19111,12,"White","Male"
"416",1986,1,30,33125,16,"White","Male"
"417",1986,1,1,19111,12,"White","Male"
"418",1986,1,10,101376,16,"White","Male"
"419",1986,1,15,21659,18,"White","Male"
"420",1986,1,10,38222,16,"White","Male"
"421",1986,1,20,33125,20,"Non White","Female"
"422",1986,1,20,38222,16,"White","Female"
"423",1986,1,15,2038,12,"White","Female"
"424",1986,1,5,11466,12,"Non White","Male"
"425",1986,1,1,510,11,"Non White","Male"
"426",1986,1,25,14015,12,"White","Male"
"427",1986,1,25,19111,14,"White","Male"
"428",1986,1,10,9173,16,"White","Male"
"429",1986,0,15,4587,12,"White","Male"
"430",1986,1,10,7644,12,"White","Male"
"431",1986,1,15,24207,15,"White","Female"
"432",1986,1,20,11466,16,"Non White","Male"
"433",1986,1,30,4587,11,"Non White","Male"
"434",1986,1,10,6625,9,"Non White","Female"
"435",1986,1,2,4587,16,"White","Male"
"436",1986,1,5,14015,12,"White","Male"
"437",1986,1,15,19111,16,"White","Male"
"438",1986,1,15,2038,12,"White","Female"
"439",1986,1,20,2038,12,"Non White","Male"
"440",1986,1,35,19111,4,"Non White","Male"
"441",1986,1,20,4587,10,"Non White","Male"
"442",1986,1,20,11466,11,"Non White","Male"
"443",1986,1,20,6625,11,"Non White","Female"
"444",1986,1,15,14015,4,"Non White","Male"
"445",1986,1,15,7644,12,"White","Male"
"446",1986,1,5,7644,12,"White","Male"
"447",1986,1,10,45866,18,"White","Female"
"448",1986,1,90,9173,13,"White","Male"
"449",1986,1,30,16563,12,"White","Male"
"450",1986,1,15,5606,15,"White","Male"
"451",1986,1,60,11466,11,"White","Male"
"452",1986,1,15,3567,13,"White","Male"
"453",1986,1,0,21659,12,"White","Male"
"454",1986,1,0,510,12,"White","Female"
"455",1986,1,20,14015,9,"White","Male"
"456",1986,1,2,56058,14,"White","Male"
"457",1986,1,5,6625,12,"White","Female"
"458",1986,1,30,19111,14,"White","Female"
"459",1986,1,45,28029,16,"White","Male"
"460",1986,0,10,9173,12,"White","Female"
"461",1986,1,25,19111,10,"Non White","Female"
"462",1986,1,20,5606,12,"Non White","Male"
"463",1986,1,25,14015,20,"White","Male"
"464",1986,1,10,14015,12,"White","Female"
"465",1986,1,5,38222,12,"White","Female"
"466",1986,0,30,7644,12,"White","Male"
"467",1986,1,5,24207,15,"White","Male"
"468",1986,1,4,510,8,"White","Male"
"469",1986,0,0,510,12,"White","Male"
"470",1986,1,30,11466,12,"White","Male"
"471",1986,1,20,9173,11,"White","Male"
"472",1986,1,15,19111,11,"White","Male"
"473",1986,1,15,19111,10,"Non White","Male"
"474",1986,1,10,21659,17,"White","Female"
"475",1986,1,5,9173,13,"Non White","Male"
"476",1986,1,30,9173,13,"Non White","Female"
"477",1986,1,15,33125,11,"White","Male"
"478",1986,1,5,510,12,"White","Male"
"479",1986,1,60,28029,12,"White","Male"
"480",1986,1,15,28029,12,"White","Male"
"481",1986,1,20,11466,12,"White","Male"
"482",1986,1,2,510,11,"White","Male"
"483",1986,1,60,101376,16,"White","Male"
"484",1986,1,60,21659,9,"White","Male"
"485",1986,1,5,11466,15,"White","Female"
"486",1986,1,15,3567,12,"White","Male"
"487",1986,1,10,28029,18,"White","Male"
"488",1986,1,35,5606,11,"White","Female"
"489",1986,1,10,9173,8,"Non White","Female"
"490",1986,1,5,11466,10,"White","Male"
"491",1986,1,5,19111,16,"White","Male"
"492",1986,1,7,7644,12,"White","Male"
"493",1986,1,4,11466,12,"White","Male"
"494",1986,1,0,38222,19,"White","Male"
"495",1986,1,12,11466,12,"Non White","Male"
"496",1986,1,30,28029,12,"Non White","Male"
"497",1986,0,30,2038,12,"White","Male"
"498",1986,1,20,19111,12,"White","Male"
"499",1986,1,20,11466,12,"White","Male"
"500",1986,0,10,3567,11,"White","Male"
"501",1986,1,10,2038,12,"White","Male"
"502",1986,0,20,14015,12,"White","Male"
"503",1986,1,20,5606,11,"White","Male"
"504",1986,1,17,19111,12,"White","Male"
"505",1986,1,15,28029,12,"White","Male"
"506",1986,0,10,16563,10,"White","Female"
"507",1986,1,30,21659,14,"White","Male"
"508",1986,1,5,21659,15,"White","Male"
"509",1986,1,5,11466,15,"White","Female"
"510",1986,0,15,6625,9,"White","Male"
"511",1986,1,30,19111,15,"White","Male"
"512",1986,1,5,11466,11,"White","Male"
"513",1986,1,30,16563,10,"White","Female"
"514",1986,1,40,28029,12,"White","Male"
"515",1986,1,10,11466,12,"White","Male"
"516",1986,1,97,16563,14,"White","Female"
"517",1986,1,10,19111,15,"White","Male"
"518",1986,1,15,14015,12,"Non White","Female"
"519",1986,1,2,4587,11,"White","Male"
"520",1986,1,5,16563,14,"White","Male"
"521",1986,1,10,9173,12,"White","Male"
"522",1986,1,15,24207,14,"White","Female"
